5】、7,time,lat,lng,flex,gsr,bpm
102,133:70:00,45.430294,0.208667,16,266,115
103,15:36:30,45.430294,0.208667,15,266,121
104,15:36:30,45.430294,0.208667,8,267,121
105,15:36:30,45.430294,0.208667,15,267,121
106,15:36:30,45.430294,0.208667,11,268,121
107,15:36:30,45.430294,0.208667,14,269,121
108,15:36:30,45.430294,0.208667,15,269,119
109,15:36:30,45.430294,0.208667,15,270,120
110,15:36:37,45.430293,12.358723,11,270,120
111,15:36:37,45.430293,12.358723,0,271,111
112,15:36:37,45.430293,12.358723,10,270,116
113,15:36:37,45.430293,12.358723,18,270,123
114,15:36:37,45.430293,12.358723,11,270,121
115,15:36:43,45.430293,12.358729,13,271,120
116,01:13:45,45.430297,0,14,271,120
117,01:13:45,45.430297,0,16,272,122
118,01:13:45,45.430297,0,12,272,121
119,01:13:45,45.430297,0,12,273,120
120,01:13:45,45.430297,0,18,273,116
121,15:36:49,45.430304,12.358736,11,273,117
122,15:36:49,45.430304,12.358736,11,274,116
123,15:36:49,45.430304,12.358736,13,275,122
124,15:36:49,45.430304,12.358736,13,275,121
125,15:36:49,45.430304,12.358736,18,275,116
126,15:36:55,45.43032,12.358765,13,276,118
127,15:36:55,45.43032,12.358765,12,276,119
128,15:36:55,45.43032,12.358765,12,276,119
129,15:36:55,45.43032,12.358765,14,277,121
130,15:36:55,45.43032,12.358765,11,277,121
131,15:36:55,45.43032,12.358765,38,278,116
132,15:37:01,45.430327,12.358779,12,278,119
133,15:37:01,45.430327,12.358779,13,278,118
134,15:37:01,45.430327,12.358779,15,278,121
135,15:37:01,45.430327,12.358779,22,278,118
136,15:37:01,45.430327,12.358779,10,279,120
137,15:37:01,45.430327,12.358779,12,279,122
138,15:37:01,45.430327,12.358779,22,279,121
139,15:37:01,45.430327,12.358779,22,279,121
140,15:37:01,45.430327,12.358779,10,279,121
141,15:37:01,45.430327,12.358779,13,280,119
142,15:37:01,45.430327,12.358779,13,281,119
143,15:37:01,45.430327,12.358779,18,280,122
144,15:37:14,45.430366,12.358909,22,332,121
145,15:37:14,45.430366,12.358909,13,400,121
146,15:37:14,45.430366,12.358909,14,391,121
147,15:37:14,45.430366,12.358909,14,336,121
148,15:37:14,45.430366,12.358909,28,422,121
149,15:37:14,45.430366,12.358909,30,353,121
150,15:37:14,45.430366,12.358909,12,355,121
151,15:37:14,45.430366,12.358909,13,348,121
152,15:37:14,45.430366,12.358909,15,363,119
153,0.114027778,45.430398,12.359043,25,346,123
154,0.114027778,45.430398,12.359043,28,365,120
155,0.114027778,45.430398,12.359043,13,412,121
156,15:37:27,45.430397,12.359075,15,375,121
157,15:37:27,45.430397,12.359075,23,422,116
158,15:37:27,45.430397,12.359075,12,375,121
159,15:37:27,45.430397,12.359075,12,357,121
160,15:37:27,45.430397,12.359075,15,409,119
161,15:37:33,45.430402,12.359105,33,411,120
162,15:37:33,45.430402,12.359105,12,416,122
163,15:37:33,45.430402,12.359105,14,419,120
164,15:37:33,45.430402,12.359105,21,331,120
165,15:37:33,45.430402,12.359105,11,381,121
166,15:37:33,45.430402,12.359105,13,358,121
167,15:37:33,45.430402,12.359105,16,354,119
168,15:37:40,45.430407,12.359144,12,355,121
169,15:37:40,45.430407,12.359144,22,414,121
170,15:37:40,45.430407,12.359144,10,411,121
171,15:37:40,45.430407,12.359144,11,353,121
172,15:37:40,45.430407,12.359144,12,373,121
173,15:37:46,45.430409,12.359154,27,406,121
174,15:37:46,45.430409,12.359154,9,346,120
175,15:37:46,45.430409,12.359154,12,395,121
176,15:37:46,45.430409,12.359154,13,376,121
177,15:37:46,45.430409,12.359154,22,426,115
178,15:37:46,45.430409,12.359154,9,407,123
179,15:37:46,45.430409,12.359154,12,356,121
180,15:37:53,45.430379,12.359154,12,418,121
181,15:37:53,45.430379,12.359154,22,413,119
182,15:37:53,45.430379,12.359154,10,355,121
183,15:37:53,45.430379,12.359154,12,386,121
184,15:37:53,45.430379,12.359154,18,414,121
185,15:37:59,45.430363,12.359152,29,358,121
186,15:37:59,45.430363,12.359152,34,358,121
187,15:37:59,45.430363,12.359152,36,351,121
188,15:37:59,45.430363,12.359152,37,335,121
189,15:37:59,45.430363,12.359152,33,385,121
190,15:37:59,45.430363,12.359152,24,336,119
191,15:37:59,45.430363,12.359152,15,394,121
192,15:37:59,45.430363,12.359152,32,377,119
193,15:37:59,45.430363,12.359152,13,353,121
194,15:37:59,45.430363,12.359152,17,371,118
195,15:37:59,45.430363,12.359152,21,336,121
196,15:37:59,45.430363,12.359152,32,348,121
197,15:38:12,45.430338,12.35915,19,379,122
198,15:38:12,45.430338,12.35915,16,337,121
199,15:38:12,45.430338,12.35915,18,402,121
200,15:38:12,45.430338,12.35915,25,351,115
201,15:38:12,45.430338,12.35915,18,416,118
202,15:38:12,45.430338,12.35915,18,340,121
203,15:38:12,45.430338,12.35915,21,386,121
204,15:38:12,45.430338,12.35915,23,374,121
205,15:38:12,45.430338,12.35915,25,414,121
206,15:38:12,45.430338,12.35915,18,383,121
207,15:38:12,45.430338,12.35915,18,408,119
208,15:38:24,0.930308,12.359242,24,271,119
209,15:38:25,45.430306,12.359245,33,271,120
210,15:38:25,45.430306,12.359245,21,272,119
211,15:38:25,45.430306,12.359245,16,272,121
212,15:38:25,45.430306,12.359245,17,272,121
213,15:38:25,45.430306,12.359245,24,271,120
214,15:38:25,45.430306,12.359245,32,272,121
215,15:38:25,45.430306,12.359245,30,272,121
216,15:38:32,45.430283,12.359352,15,272,121
217,15:38:32,45.430283,12.359352,18,273,121
218,15:38:32,45.430283,12.359352,33,272,120
219,15:38:32,45.430283,12.359352,28,273,119
220,15:38:32,45.430283,12.359352,18,273,121
221,15:38:38,45.430266,12.359465,18,274,120
222,15:38:38,45.430266,12.359465,19,274,119
223,15:38:38,45.430266,12.359465,17,275,122
224,15:38:38,45.430266,12.359465,26,275,121
225,15:38:38,45.430266,12.359465,26,276,121
226,15:38:38,45.430266,12.359465,13,276,121
227,15:38:38,45.430266,12.359465,17,276,121
228,15:38:38,45.430266,12.359465,17,276,119
229,15:38:38,45.430266,12.359465,18,276,121
230,15:38:38,45.430266,12.359465,27,277,119
231,15:38:38,45.430266,12.359465,17,277,122
232,15:38:38,45.430266,12.359465,15,277,121
233,15:38:51,45.430197,12.359633,17,278,117
234,15:38:51,45.430197,12.359633,19,278,121
235,15:38:51,45.430197,12.359633,28,278,121
236,15:38:51,45.430197,12.359633,25,277,121
237,15:38:51,45.430197,12.359633,15,276,119
238,15:38:51,45.430197,12.359633,18,277,121
239,15:38:51,45.430197,12.359633,19,284,121
240,15:38:51,45.430197,12.359633,28,276,121
241,15:38:51,45.430197,12.359633,27,277,114
242,15:38:51,45.430197,12.359633,25,276,122
243,15:38:51,45.430197,12.359633,14,277,121
244,15:38:51,45.430197,12.359633,13,276,119
245,15:39:04,45.430097,12.359792,16,277,119
246,15:39:04,45.430097,12.359792,16,278,122
247,15:39:04,45.430097,12.359792,19,278,122
248,15:39:04,45.430097,12.359792,22,278,117
